종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
동양철관,"1,164","상승
47",+4.21%,"123,230,533","148,682","1,163","1,164","1,654",77.60,-1.78
KODEX 200선물인버스2X,"1,935","하락
11",-0.57%,"119,060,526","230,887","1,935","1,936","17,419",N/A,N/A
대한해운,"2,455","상승
185",+8.15%,"90,989,222","230,894","2,455","2,460","7,836",7.01,4.36
GS글로벌,"3,945","상승
95",+2.47%,"77,394,259","323,517","3,940","3,945","3,256",10.81,6.78
흥아해운,"2,575","상승
75",+3.00%,"36,020,249","97,020","2,575","2,580","6,191",19.81,23.02
KODEX 코스닥150선물인버스,"3,575","하락
15",-0.42%,"21,837,241","78,237","3,575","3,580","3,325",N/A,N/A
삼성 인버스 2X WTI원유 선물 ETN,88,"하락
2",-2.22%,"19,972,028","1,756",87,88,"1,317",N/A,N/A
삼성중공업,"9,290","상승
340",+3.80%,"17,635,876","165,364","9,280","9,290","81,752",-54.65,-4.22
유진투자증권,"5,890","상승
630",+11.98%,"17,546,032","103,893","5,880","5,890","5,705",32.36,3.09
삼성전자,"80,800","상승
200",+0.25%,"17,409,303","1,410,209","80,700","80,800","4,823,584",27.87,4.15
삼성공조,"17,300","상승
2,330",+15.56%,"16,005,217","277,208","17,290","17,300","1,406",10.56,5.25
KODEX 인버스,"4,065","하락
15",-0.37%,"15,542,056","63,216","4,060","4,065","6,435",N/A,N/A
KODEX 코스닥150레버리지,"10,605","상승
75",+0.71%,"14,906,074","157,410","10,600","10,605","11,655",N/A,N/A
한국ANKOR유전,446,"상승
2",+0.45%,"12,691,039","5,821",446,447,312,N/A,N/A
STX그린로지스,"13,560","상승
2,610",+23.84%,"12,123,001","164,122","13,550","13,560",972,22.60,N/A
동방,"3,490","상승
10",+0.29%,"9,851,115","35,064","3,485","3,490","1,674",7.35,10.97
화신,"14,800","상승
1,230",+9.06%,"8,480,575","125,434","14,790","14,800","5,168",6.95,19.27
KODEX 레버리지,"20,380","상승
135",+0.67%,"8,215,007","167,038","20,375","20,380","20,197",N/A,N/A
삼부토건,"1,585","상승
24",+1.54%,"8,051,364","12,999","1,585","1,586","3,361",-2.42,-73.88
HMM,"19,180","상승
200",+1.05%,"7,296,219","142,300","19,180","19,190","135,994",9.51,4.59
